core_object,core_column,core_data_type,is_likely_technical,coverage_status,marts_output_locations,dbt_sql_usage_locations
core.order_items,order_key,text,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql
core.order_items,order_natural_id,text,no,not_found_by_name,,
core.order_items,order_id,bigint,no,not_found_by_name,,
core.order_items,rid,text,no,not_found_by_name,,
core.order_items,srid,text,no,not_found_by_name,,
core.order_items,order_uid,text,no,not_found_by_name,,
core.order_items,order_code,text,no,not_found_by_name,,
core.order_items,product_id,bigint,no,present_as_output_column,marts.mart_orders_daily.product_id; marts.mart_products_catalog.product_id; marts.mart_promotion_daily.product_id; marts.mart_sales_daily.product_id; marts.mart_stock_current.product_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,nm_id,bigint,no,present_as_output_column,marts.mart_products_catalog.nm_id; marts.mart_promotion_daily.nm_id; marts.mart_stock_current.nm_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,product_variant_id,bigint,no,present_as_output_column,marts.mart_orders_daily.product_variant_id; marts.mart_products_catalog.product_variant_id; marts.mart_promotion_daily.product_variant_id; marts.mart_sales_daily.product_variant_id; marts.mart_stock_current.product_variant_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,chrt_id,bigint,no,present_as_output_column,marts.mart_products_catalog.chrt_id; marts.mart_promotion_daily.chrt_id; marts.mart_stock_current.chrt_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,article,text,no,present_as_output_column,marts.mart_products_catalog.article; marts.mart_promotion_daily.article; marts.mart_sales_daily.article; marts.mart_stock_current.article,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,barcode_value,text,no,present_as_output_column,marts.mart_promotion_daily.barcode_value; marts.mart_sales_daily.barcode_value; marts.mart_stock_current.barcode_value,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_products_catalog.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql
core.order_items,skus,jsonb,no,not_found_by_name,,
core.order_items,price,numeric,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_promotion_daily.sql; dbt/wb_dbt/models/marts/mart_business_daily.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_acceptance_prices.sql; dbt/wb_dbt/models/client_exports/client_core__tariff_box_prices.sql
core.order_items,sale_price,numeric,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql
core.order_items,final_price,numeric,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_business_daily.sql
core.order_items,converted_price,numeric,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql
core.order_items,converted_final_price,numeric,no,used_in_mart_sql_but_not_output_column,,dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql; dbt/wb_dbt/models/marts/mart_business_daily.sql
core.order_items,currency_code,integer,no,not_found_by_name,,
core.order_items,converted_currency_code,integer,no,not_found_by_name,,
core.order_items,scan_price,numeric,no,not_found_by_name,,
core.order_items,warehouse_id,bigint,no,present_as_output_column,marts.mart_orders_daily.warehouse_id; marts.mart_sales_daily.warehouse_id; marts.mart_stock_current.warehouse_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql
core.order_items,office_id,bigint,no,present_as_output_column,marts.mart_orders_daily.office_id; marts.mart_sales_daily.office_id; marts.mart_stock_current.office_id,dbt/wb_dbt/models/marts/mart_stock_current.sql; dbt/wb_dbt/models/marts/mart_orders_daily.sql; dbt/wb_dbt/models/marts/mart_sales_daily.sql
core.order_items,order_flow,text,no,present_as_output_column,marts.mart_orders_daily.order_flow,dbt/wb_dbt/models/marts/mart_orders_daily.sql
core.order_items,order_kind,text,no,present_as_output_column,marts.mart_orders_daily.order_kind,dbt/wb_dbt/models/marts/mart_orders_daily.sql
core.order_items,delivery_type,text,no,present_as_output_column,marts.mart_orders_daily.delivery_type,dbt/wb_dbt/models/marts/mart_orders_daily.sql
core.order_items,delivery_method,text,no,present_as_output_column,marts.mart_orders_daily.delivery_method,dbt/wb_dbt/models/marts/mart_orders_daily.sql
